Average,,,,,
e1 [1] - engr.,e2 [1] - engr.,gamma [1] - engr.,Time_0,Time,Pressure
2.28E-18,-2.28E-18,0.0812912,284.2824,0,102076.61
5.15E-05,-4.20E-05,0.148996,289.2823,4.9999,102315.5671
3.98E-05,-5.30E-05,0.279095,294.2827,10.0003,102351.1083
7.21E-05,-2.05E-05,0.191727,299.2819,14.9995,102307.5267
5.68E-05,-5.35E-05,0.0896402,304.2824,20,102236.46
0.00366406,-0.000698419,0.0313559,309.2824,25,102168.32
0.00310074,-0.000619038,0.0456769,314.2824,30,102098.88
0.00260335,-0.000543808,0.0543558,319.2823,34.9999,102039.0309
0.0022123,-0.000450395,0.0665003,324.2826,40.0002,101989.1881
0.00190003,-0.000414819,0.079771,329.2825,45.0001,101949.8392
0.00161399,-0.000355143,0.0895544,334.283,50.0006,101918.1263
0.00138042,-0.000332556,0.0966898,339.2823,54.9999,101892.9705
0.00122174,-0.000281944,0.107885,344.283,60.0006,101926.8251
0.00104824,-0.000257568,0.123095,349.2825,65.0001,102259.796
0.000917195,-0.000236099,0.130023,354.2831,70.0007,102425.7638
0.000857278,-0.000170039,0.140074,359.2832,75.0008,102423.3158
0.000795407,-0.000121373,0.154217,364.2828,80.0004,102367.163
0.000721196,-8.44E-05,0.172545,369.2827,85.0003,102283.5642
0.00407247,-0.00068777,0.0328617,374.2819,89.9995,102198.5292
0.00343327,-0.000604997,0.0440802,379.2828,95.0004,102123.0538
0.00290176,-0.000537603,0.0536907,384.2831,100.0007,102056.8709
0.00248568,-0.00049001,0.0655306,389.2826,105.0002,102002.7178
0.00210687,-0.000473354,0.0725841,394.2827,110.0003,101958.8575
0.00182883,-0.000362653,0.0817266,399.2829,115.0005,102184.5902
0.00158171,-0.0003448,0.101181,404.283,120.0006,102280.8513
0.00139107,-0.000283059,0.10526,409.2826,125.0002,102270.5679
0.00126617,-0.000231567,0.121153,414.2824,130,102215.42
0.00110143,-0.000191317,0.125695,419.2827,135.0003,102146.1455
0.00320426,-0.000592289,0.0467109,424.2828,140.0004,102081.4146
0.0027131,-0.00055208,0.0608838,429.2821,144.9997,102159.4635
0.0022954,-0.000477518,0.0701112,434.2822,149.9998,102342.5559
0.00197481,-0.000426465,0.08271,439.2823,154.9999,102353.5006
0.00171247,-0.00035824,0.0953905,444.2825,160.0001,102303.5489
0.00152438,-0.000256246,0.100483,449.2828,165.0004,102226.1066
0.00378197,-0.000602883,0.0388262,454.2824,170,102158.46
0.00325162,-0.000522873,0.0511116,459.2828,175.0004,102089.5043
0.0027537,-0.000480782,0.0622173,464.2826,180.0002,102161.4032
0.00237586,-0.000388468,0.0723072,469.283,185.0006,102347.1152
0.00207447,-0.000348782,0.0815784,474.2822,189.9998,102357.5211
0.00181016,-0.00026601,0.0947988,479.283,195.0006,102302.82
0.00158993,-0.000236378,0.109241,484.2828,200.0004,102226.383
0.00385788,-0.000588254,0.0382356,489.2825,205.0001,102149.4722
0.00327353,-0.00055091,0.0519545,494.282,209.9996,102404.2267
0.00282753,-0.00045107,0.0594449,499.2824,215,102446.03
0.00242304,-0.000388012,0.0716671,504.2824,220,102398.5
0.00210592,-0.000362253,0.0818498,509.2824,225,102315.71
0.00183963,-0.000304324,0.0885544,514.2823,229.9999,102227.402
0.00385853,-0.000592375,0.0406131,519.2828,235.0004,102146.3861
0.00326504,-0.000551599,0.0518919,524.2824,240,102392.11
0.00278267,-0.000492544,0.0606322,529.2828,245.0004,102434.8033
0.00240669,-0.000409073,0.069632,534.2827,250.0003,102385.7675
0.00209786,-0.000333249,0.08299,539.2823,254.9999,102303.8019
0.00185592,-0.000291012,0.0947808,544.2823,259.9999,102257.8878
0.00389135,-0.00060628,0.039513,549.2828,265.0004,102491.7761
0.00330963,-0.000520274,0.0510151,554.2822,269.9998,102506.5714
0.00285418,-0.000458496,0.060795,559.2823,274.9999,102437.6818
0.00245783,-0.000394492,0.0712876,564.2827,280.0003,102343.3436
0.00366438,-0.000561714,0.0453553,569.2825,285.0001,102247.7258
0.00412061,-0.000595293,0.0356598,574.283,290.0006,102485.5068
0.00353041,-0.000532026,0.0492537,579.2823,294.9999,102516.2005
0.00302931,-0.000447862,0.0576882,584.2822,299.9998,102460.8918
0.00260407,-0.000416225,0.0690605,589.2823,304.9999,102369.8211
0.00228453,-0.000366465,0.07986,594.2828,310.0004,102342.7444
0.00431483,-0.000611687,0.0335545,599.2829,315.0005,102585.7776
0.00370598,-0.000534174,0.0456884,604.2818,319.9994,102633.8619
0.0032127,-0.000478445,0.0570883,609.2829,325.0005,102578.7096
0.00280157,-0.000408344,0.0664402,614.2825,330.0001,102475.9175
0.00240794,-0.000349129,0.0737422,619.2828,335.0004,102365.9704
0.00508209,-0.000680664,0.0239348,624.2817,339.9993,102535.0193
0.00436188,-0.000638366,0.0333158,629.2821,344.9997,102593.1204
0.00378468,-0.000537531,0.0429792,634.2829,350.0005,102533.0897
0.00327174,-0.000479819,0.0520842,639.2828,355.0004,102433.2353
0.00285447,-0.000423303,0.0619938,644.2829,360.0005,102328.6703
0.0049168,-0.000715779,0.0255768,649.283,365.0006,102769.7624
0.00423414,-0.000637603,0.035386,654.2828,370.0004,102950.132
0.00368125,-0.000558516,0.0459353,659.2826,375.0002,102916.8956
0.00318231,-0.00048858,0.05428,664.2827,380.0003,102797.9808
0.00279139,-0.000433754,0.0665904,669.2823,384.9999,102654.4433
0.00740521,-0.000970148,0.004169,674.2831,390.0007,102513.4691
0.00642619,-0.000887597,0.0117739,679.2821,394.9997,102540.2351
0.00557991,-0.000776159,0.0191026,684.2823,399.9999,102666.4692
0.00486239,-0.000697037,0.0268466,689.2824,405,102628.25
0.00423347,-0.000617996,0.0356497,694.283,410.0006,102539.9854
0.00370662,-0.000538794,0.0451758,699.2825,415.0001,102461.118
0.00585084,-0.000806315,0.0170597,704.2819,419.9995,102671.59
0.00519203,-0.000723642,0.0236879,709.2827,425.0003,102662.9653
0.00453687,-0.000648393,0.0320213,714.283,430.0006,102571.0551
0.0039728,-0.000539468,0.0407692,719.283,435.0006,102516.3158
0.00388997,-0.000568258,0.0421632,724.2822,439.9998,102768.2875
0.00539784,-0.000771329,0.0206179,729.2826,445.0002,102862.9189
0.00473656,-0.000642728,0.0324001,734.2828,450.0004,102798.6252
0.00411992,-0.00061367,0.039207,739.2832,455.0008,102691.0858
0.00360988,-0.000535614,0.044715,744.2824,460,102554.47
0.00678249,-0.000907428,0.00848558,749.2829,465.0005,102691.1205
0.00589825,-0.000827913,0.0165178,754.2831,470.0007,102733.7125
0.00519309,-0.000724445,0.0247758,759.2828,475.0004,102656.8203
0.00453232,-0.000609133,0.0317936,764.2823,479.9999,102539.5527
0.00394902,-0.000570021,0.043027,769.2824,485,102744.5
0.00597015,-0.000827679,0.0165462,774.2827,490.0003,102745.6378
0.00524241,-0.000705261,0.024276,779.2819,494.9995,102651.6426
0.00457842,-0.000662608,0.0323261,784.2827,500.0003,102658.3013
0.00404357,-0.000547254,0.038577,789.2825,505.0001,102931.4916
0.00591975,-0.00084349,0.0166399,794.2825,510.0001,102974.0294
0.00518895,-0.00073194,0.0236555,799.2824,515,102894.81
0.00455406,-0.000638395,0.0338396,804.2825,520.0001,102757.0267
0.00535163,-0.000730206,0.0237566,809.2828,525.0004,102653.3481
0.00727789,-0.000951112,0.00544458,814.2827,530.0003,102825.5011
0.00638234,-0.000839584,0.0131801,819.2827,535.0003,102791.0137
0.00557962,-0.000770689,0.021572,824.2826,540.0002,102679.9142
0.00490216,-0.000688072,0.028607,829.2828,545.0004,102829.9046
0.0065494,-0.000887062,0.0120777,834.2825,550.0001,102850.3542
0.00614195,-0.000835802,0.015998,839.2818,554.9994,102766.4676
0.00539024,-0.00075873,0.0232742,844.2831,560.0007,102635.7012
0.00475381,-0.000652286,0.0314388,849.2828,565.0004,102815.7155
0.00665392,-0.000887677,0.0112679,854.2822,569.9998,102812.9425
0.00587173,-0.000787375,0.0185809,859.283,575.0006,102767.593
0.00510851,-0.000715325,0.0236581,864.2832,580.0008,102941.8917
0.00452914,-0.000618825,0.0346628,869.2832,585.0008,102897.6211
0.00641988,-0.00084691,0.012755,874.283,590.0006,102774.1606
0.00567107,-0.00073778,0.0215067,879.2824,595,103000.25
0.0069983,-0.000888817,0.00902541,884.2823,599.9999,103234.9388
0.00671495,-0.000878804,0.0117389,889.2827,605.0003,103222.8431
0.00589142,-0.000799338,0.0181188,894.2827,610.0003,103090.7393
0.00516204,-0.000722106,0.0261976,899.2825,615.0001,102919.876
0.00977737,-0.00121474,-0.0055832,904.2821,619.9997,102746.3614
0.00862682,-0.0011668,4.16E-05,909.2825,625.0001,102899.5442
0.00762557,-0.00103393,0.00592308,914.2829,630.0005,102882.3798
0.00669518,-0.000932021,0.0121452,919.2827,635.0003,102995.9162
0.00591214,-0.00083123,0.0191539,924.2828,640.0004,103041.6075
0.00522968,-0.000760402,0.0252489,929.2829,645.0005,102957.8152
0.00709075,-0.000967432,0.0081001,934.2826,650.0002,102846.2615
0.0062792,-0.000877889,0.0152002,939.2829,655.0005,103277.3389
0.00812227,-0.00104951,0.00286801,944.2832,660.0008,103338.7383
0.00718344,-0.000984864,0.0083871,949.2823,664.9999,103228.2733
0.00635512,-0.00086146,0.0147796,954.2825,670.0001,103056.7759
0.00741428,-0.000954031,0.00762236,959.2825,675.0001,102872.956
0.00986642,-0.00129172,-0.00451412,964.2829,680.0005,103175.2131
0.00873679,-0.00116059,0.000214368,969.2831,685.0007,103334.47
0.0077002,-0.00105684,0.00532705,974.2828,690.0004,103277.6784
0.0068127,-0.000947342,0.0115837,979.283,695.0006,103126.0266
0.00605649,-0.000868207,0.0179557,984.2826,700.0002,102945.3033
0.0104931,-0.00133749,-0.00652074,989.2825,705.0001,103082.7803
0.00931556,-0.00125346,-0.00290278,994.2828,710.0004,103037.6999
0.00823931,-0.0011369,0.0039416,999.2823,714.9999,102968.4569
